"boj_activity_date","boj_meeting_date_indicator","boj_non_scheduled_meeting_indicator","boj_projection_materials_indicator","boj_minutes_date_indicator"
2000-01-17,1,0,0,0
2000-02-10,1,0,0,0
2000-02-24,1,0,0,0
2000-02-29,0,0,0,1
2000-03-08,1,1,0,0
2000-03-13,0,0,0,1
2000-03-24,1,0,0,0
2000-03-29,0,0,0,1
2000-04-10,1,0,0,0
2000-04-13,0,0,0,1
2000-04-27,1,0,0,0
2000-05-02,0,0,0,1
2000-05-17,1,0,0,0
2000-05-22,0,0,0,1
2000-06-12,1,0,0,0
2000-06-15,0,0,0,1
2000-06-28,1,0,0,0
2000-07-03,0,0,0,1
2000-07-17,1,0,0,0
2000-07-21,0,0,0,1
2000-08-11,1,0,0,0
2000-08-16,0,0,0,1
2000-09-14,1,0,0,0
2000-09-20,0,0,0,1
2000-09-20,0,0,0,1
2000-10-13,1,0,0,0
2000-10-18,0,0,0,1
2000-10-30,1,0,1,0
2000-11-17,1,0,0,0
2000-11-22,0,0,0,1
2000-11-30,1,0,0,0
2000-12-05,0,0,0,1
2000-12-15,1,0,0,0
2000-12-20,0,0,0,1
2001-01-19,1,0,0,0
2001-01-24,0,0,0,1
2001-01-24,0,0,0,1
2001-02-09,1,0,0,0
2001-02-28,1,0,0,0
2001-03-05,0,0,0,1
2001-03-19,1,0,0,0
2001-03-23,0,0,0,1
2001-04-12,1,0,0,0
2001-04-18,0,0,0,1
2001-04-25,1,0,1,0
2001-05-01,0,0,0,1
2001-05-17,1,0,0,0
2001-05-23,0,0,0,1
2001-06-15,1,0,0,0
2001-06-20,0,0,0,1
2001-06-20,0,0,0,1
2001-06-28,1,0,0,0
2001-07-13,1,0,0,0
2001-07-18,0,0,0,1
2001-08-14,1,0,0,0
2001-08-17,0,0,0,1
2001-08-17,0,0,0,1
2001-09-18,1,0,0,0
2001-09-25,0,0,0,1
2001-10-12,1,0,0,0
2001-10-29,1,0,1,0
2001-11-01,0,0,0,1
2001-11-16,1,0,0,0
2001-11-21,0,0,0,1
2001-11-29,1,1,0,0
2001-12-04,0,0,0,1
2001-12-19,1,0,0,0
2001-12-25,0,0,0,1
2002-01-16,1,0,0,0
2002-01-21,0,0,0,1
2002-01-21,0,0,0,1
2002-02-08,1,0,0,0
2002-02-28,1,0,0,0
2002-03-05,0,0,0,1
2002-03-20,1,0,0,0
2002-03-26,0,0,0,1
2002-04-11,1,0,0,0
2002-04-16,0,0,0,1
2002-04-30,1,0,1,0
2002-05-07,0,0,0,1
2002-05-21,1,0,0,0
2002-05-24,0,0,0,1
2002-06-12,1,0,0,0
2002-06-17,0,0,0,1
2002-06-26,1,0,0,0
2002-07-01,0,0,0,1
2002-07-16,1,0,0,0
2002-07-19,0,0,0,1
2002-08-09,1,0,0,0
2002-08-14,0,0,0,1
2002-08-14,0,0,0,1
2002-09-18,1,0,0,0
2002-09-24,0,0,0,1
2002-10-11,1,0,0,0
2002-10-30,1,0,1,0
2002-11-05,0,0,0,1
2002-11-19,1,0,0,0
2002-11-22,0,0,0,1
2002-12-17,1,0,0,0
2002-12-20,0,0,0,1
2002-12-20,0,0,0,1
2003-01-22,1,0,0,0
2003-01-27,0,0,0,1
2003-02-14,1,0,0,0
2003-02-19,0,0,0,1
2003-03-05,1,1,0,0
2003-03-10,0,0,0,1
2003-03-25,1,0,0,0
2003-04-08,1,0,0,0
2003-04-11,0,0,0,1
2003-04-30,1,0,1,0
2003-05-06,0,0,0,1
2003-05-20,1,0,0,0
2003-05-23,0,0,0,1
2003-06-11,1,0,0,0
2003-06-16,0,0,0,1
2003-06-25,1,0,0,0
2003-06-30,0,0,0,1
2003-07-15,1,0,0,0
2003-07-18,0,0,0,1
2003-08-08,1,0,0,0
2003-08-13,0,0,0,1
2003-08-13,0,0,0,1
2003-09-12,1,0,0,0
2003-09-18,0,0,0,1
2003-10-10,1,0,0,0
2003-10-16,0,0,0,1
2003-10-31,1,0,1,0
2003-11-21,1,0,0,0
2003-11-27,0,0,0,1
2003-12-16,1,0,0,0
2003-12-19,0,0,0,1
2003-12-19,0,0,0,1
2004-01-20,1,0,0,0
2004-01-23,0,0,0,1
2004-02-05,1,1,0,0
2004-02-26,1,0,0,0
2004-03-02,0,0,0,1
2004-03-16,1,0,0,0
2004-03-19,0,0,0,1
2004-04-09,1,0,0,0
2004-04-14,0,0,0,1
2004-04-14,0,0,0,1
2004-04-28,1,0,1,0
2004-05-20,1,0,0,0
2004-05-25,0,0,0,1
2004-06-15,1,0,0,0
2004-06-18,0,0,0,1
2004-06-25,1,0,0,0
2004-06-30,0,0,0,1
2004-07-13,1,0,0,0
2004-07-16,0,0,0,1
2004-08-10,1,0,0,0
2004-08-13,0,0,0,1
2004-08-13,0,0,0,1
2004-09-09,1,0,0,0
2004-09-14,0,0,0,1
2004-10-13,1,0,0,0
2004-10-18,0,0,0,1
2004-10-29,1,0,1,0
2004-11-18,1,0,0,0
2004-11-24,0,0,0,1
2004-12-17,1,0,0,0
2004-12-22,0,0,0,1
2004-12-22,0,0,0,1
2005-01-19,1,0,0,0
2005-01-24,0,0,0,1
2005-02-17,1,0,0,0
2005-02-22,0,0,0,1
2005-03-16,1,0,0,0
2005-03-22,0,0,0,1
2005-04-06,1,0,0,0
2005-04-28,1,0,1,0
2005-05-09,0,0,0,1
2005-05-20,1,0,0,0
2005-05-25,0,0,0,1
2005-06-15,1,0,0,0
2005-06-20,0,0,0,1
2005-06-20,0,0,0,1
2005-07-13,1,0,0,0
2005-07-19,0,0,0,1
2005-07-27,1,1,0,0
2005-08-09,1,0,0,0
2005-08-12,0,0,0,1
2005-09-08,1,0,0,0
2005-09-13,0,0,0,1
2005-09-13,0,0,0,1
2005-10-12,1,0,0,0
2005-10-17,0,0,0,1
2005-10-31,1,0,1,0
2005-11-18,1,0,0,0
2005-11-24,0,0,0,1
2005-12-16,1,0,0,0
2005-12-21,0,0,0,1
2005-12-21,0,0,0,1
2006-01-20,1,0,0,0
2006-01-25,0,0,0,1
2006-02-09,1,0,0,0
2006-03-09,1,0,0,0
2006-03-14,0,0,0,1
2006-03-14,0,0,0,1
2006-04-11,1,0,0,0
2006-04-14,0,0,0,1
2006-04-28,1,0,1,0
2006-05-19,1,0,0,0
2006-05-24,0,0,0,1
2006-06-15,1,0,0,0
2006-06-20,0,0,0,1
2006-06-20,0,0,0,1
2006-07-14,1,0,0,0
2006-07-20,0,0,0,1
2006-08-11,1,0,0,0
2006-08-16,0,0,0,1
2006-09-08,1,0,0,0
2006-09-13,0,0,0,1
2006-10-13,1,0,0,0
2006-10-18,0,0,0,1
2006-10-31,1,0,1,0
2006-11-16,1,0,0,0
2006-11-21,0,0,0,1
2006-12-19,1,0,0,0
2006-12-22,0,0,0,1
2006-12-22,0,0,0,1
2007-01-18,1,0,0,0
2007-01-23,0,0,0,1
2007-02-21,1,0,0,0
2007-02-26,0,0,0,1
2007-03-20,1,0,0,0
2007-03-26,0,0,0,1
2007-04-10,1,0,0,0
2007-04-27,1,0,1,0
2007-05-07,0,0,0,1
2007-05-17,1,0,0,0
2007-05-22,0,0,0,1
2007-06-15,1,0,0,0
2007-06-20,0,0,0,1
2007-06-20,0,0,0,1
2007-07-12,1,0,0,0
2007-07-18,0,0,0,1
2007-08-23,1,0,0,0
2007-08-28,0,0,0,1
2007-09-19,1,0,0,0
2007-09-25,0,0,0,1
2007-10-11,1,0,0,0
2007-10-31,1,0,1,0
2007-11-05,0,0,0,1
2007-11-13,1,0,0,0
2007-11-16,0,0,0,1
2007-12-20,1,0,0,0
2007-12-26,0,0,0,1
2007-12-26,0,0,0,1
2008-01-22,1,0,0,0
2008-01-25,0,0,0,1
2008-02-15,1,0,0,0
2008-02-20,0,0,0,1
2008-03-07,1,0,0,0
2008-03-12,0,0,0,1
2008-04-09,1,0,0,0
2008-04-14,0,0,0,1
2008-04-30,1,0,1,0
2008-05-20,1,0,0,0
2008-05-23,0,0,0,1
2008-06-13,1,0,0,0
2008-06-18,0,0,0,1
2008-06-18,0,0,0,1
2008-07-15,1,0,0,0
2008-07-18,0,0,0,1
2008-08-19,1,0,0,0
2008-08-22,0,0,0,1
2008-09-17,1,0,0,0
2008-09-22,0,0,0,1
2008-10-07,1,0,0,0
2008-10-10,0,0,0,1
2008-10-14,1,1,0,0
2008-10-31,1,0,1,0
2008-11-06,0,0,0,1
2008-11-06,0,0,0,1
2008-11-21,1,0,0,0
2008-11-27,0,0,0,1
2008-12-02,1,1,0,0
2008-12-19,1,0,0,0
2008-12-25,0,0,0,1
2009-01-22,1,0,0,0
2009-01-27,0,0,0,1
2009-01-27,0,0,0,1
2009-02-19,1,0,0,0
2009-02-24,0,0,0,1
2009-03-18,1,0,0,0
2009-03-24,0,0,0,1
2009-04-07,1,0,0,0
2009-04-10,0,0,0,1
2009-04-30,1,0,1,0
2009-05-08,0,0,0,1
2009-05-22,1,0,0,0
2009-05-27,0,0,0,1
2009-06-16,1,0,0,0
2009-06-19,0,0,0,1
2009-07-15,1,0,0,0
2009-07-21,0,0,0,1
2009-08-11,1,0,0,0
2009-08-14,0,0,0,1
2009-09-17,1,0,0,0
2009-09-25,0,0,0,1
2009-10-14,1,0,0,0
2009-10-19,0,0,0,1
2009-10-30,1,0,1,0
2009-11-05,0,0,0,1
2009-11-20,1,0,0,0
2009-11-26,0,0,0,1
2009-12-01,1,1,0,0
2009-12-18,1,0,0,0
2009-12-24,0,0,0,1
2009-12-24,0,0,0,1
2010-01-26,1,0,1,0
2010-01-29,0,0,0,1
2010-02-18,1,0,0,0
2010-02-23,0,0,0,1
2010-03-17,1,0,0,0
2010-03-23,0,0,0,1
2010-04-07,1,0,0,0
2010-04-12,0,0,0,1
2010-04-30,1,0,1,0
2010-05-10,1,1,0,0
2010-05-10,0,0,0,1
2010-05-21,1,0,0,0
2010-05-26,0,0,0,1
2010-06-15,1,0,0,0
2010-06-18,0,0,0,1
2010-06-18,0,0,0,1
2010-07-15,1,0,1,0
2010-07-21,0,0,0,1
2010-08-10,1,0,0,0
2010-08-13,0,0,0,1
2010-08-30,1,1,0,0
2010-09-07,1,0,0,0
2010-09-10,0,0,0,1
2010-10-05,1,0,0,0
2010-10-08,0,0,0,1
2010-10-08,0,0,0,1
2010-10-28,1,0,1,0
2010-11-02,0,0,0,1
2010-11-05,1,0,0,0
2010-12-21,1,0,0,0
2010-12-27,0,0,0,1
2010-12-27,0,0,0,1
2011-01-25,1,0,1,0
2011-01-28,0,0,0,1
2011-02-15,1,0,0,0
2011-02-18,0,0,0,1
2011-03-14,1,0,0,0
2011-03-17,0,0,0,1
2011-04-07,1,0,0,0
2011-04-12,0,0,0,1
2011-04-28,1,0,1,0
2011-05-09,0,0,0,1
2011-05-20,1,0,0,0
2011-05-25,0,0,0,1
2011-06-14,1,0,0,0
2011-06-17,0,0,0,1
2011-07-12,1,0,1,0
2011-07-15,0,0,0,1
2011-08-04,1,0,0,0
2011-08-09,0,0,0,1
2011-09-07,1,0,0,0
2011-09-12,0,0,0,1
2011-10-07,1,0,0,0
2011-10-13,0,0,0,1
2011-10-27,1,0,1,0
2011-11-01,0,0,0,1
2011-11-16,1,0,0,0
2011-11-21,0,0,0,1
2011-11-30,1,1,0,0
2011-12-21,1,0,0,0
2011-12-27,0,0,0,1
2011-12-27,0,0,0,1
2012-01-24,1,0,1,0
2012-01-27,0,0,0,1
2012-02-14,1,0,0,0
2012-02-17,0,0,0,1
2012-03-13,1,0,0,0
2012-03-16,0,0,0,1
2012-04-10,1,0,0,0
2012-04-13,0,0,0,1
2012-05-07,0,0,0,1
2012-05-23,1,0,0,0
2012-05-28,0,0,0,1
2012-06-15,1,0,0,0
2012-06-20,0,0,0,1
2012-07-12,1,0,1,0
2012-07-18,0,0,0,1
2012-08-09,1,0,0,0
2012-08-14,0,0,0,1
2012-09-19,1,0,0,0
2012-09-24,0,0,0,1
2012-10-05,1,0,0,0
2012-10-11,0,0,0,1
2012-10-30,1,0,1,0
2012-11-02,0,0,0,1
2012-11-20,1,0,0,0
2012-11-26,0,0,0,1
2012-12-20,1,0,0,0
2012-12-26,0,0,0,1
2013-01-22,1,0,1,0
2013-01-25,0,0,0,1
2013-02-14,1,0,0,0
2013-02-19,0,0,0,1
2013-03-07,1,0,0,0
2013-03-12,0,0,0,1
2013-04-04,1,0,0,0
2013-04-09,0,0,0,1
2013-04-26,1,0,1,0
2013-05-02,0,0,0,1
2013-05-22,1,0,0,0
2013-05-27,0,0,0,1
2013-06-11,1,0,0,0
2013-06-14,0,0,0,1
2013-07-11,1,0,1,0
2013-07-17,0,0,0,1
2013-08-08,1,0,0,0
2013-08-13,0,0,0,1
2013-09-05,1,0,0,0
2013-09-10,0,0,0,1
2013-10-04,1,0,0,0
2013-10-09,0,0,0,1
2013-10-31,1,0,1,0
2013-11-06,0,0,0,1
2013-11-21,1,0,0,0
2013-11-26,0,0,0,1
2013-12-20,1,0,0,0
2013-12-26,0,0,0,1
2014-01-22,1,0,1,0
2014-01-27,0,0,0,1
2014-02-18,1,0,0,0
2014-02-21,0,0,0,1
2014-03-11,1,0,0,0
2014-03-14,0,0,0,1
2014-04-08,1,0,0,0
2014-04-11,0,0,0,1
2014-04-30,1,0,1,0
2014-05-07,0,0,0,1
2014-05-21,1,0,0,0
2014-05-26,0,0,0,1
2014-06-13,1,0,0,0
2014-06-18,0,0,0,1
2014-07-15,1,0,1,0
2014-07-18,0,0,0,1
2014-08-08,1,0,0,0
2014-08-13,0,0,0,1
2014-09-04,1,0,0,0
2014-09-09,0,0,0,1
2014-10-07,1,0,0,0
2014-10-10,0,0,0,1
2014-10-31,1,0,1,0
2014-11-06,0,0,0,1
2014-11-19,1,0,0,0
2014-11-25,0,0,0,1
2014-12-19,1,0,0,0
2014-12-25,0,0,0,1
2015-01-21,1,0,1,0
2015-01-26,0,0,0,1
2015-02-18,1,0,0,0
2015-02-23,0,0,0,1
2015-03-17,1,0,0,0
2015-03-20,0,0,0,1
2015-04-08,1,0,0,0
2015-04-13,0,0,0,1
2015-04-30,1,0,1,0
2015-05-08,0,0,0,1
2015-05-22,1,0,0,0
2015-05-27,0,0,0,1
2015-06-19,1,0,0,0
2015-06-24,0,0,0,1
2015-07-15,1,0,1,0
2015-07-21,0,0,0,1
2015-08-07,1,0,0,0
2015-08-12,0,0,0,1
2015-09-15,1,0,0,0
2015-09-18,0,0,0,1
2015-10-07,1,0,0,0
2015-10-13,0,0,0,1
2015-10-30,1,0,1,0
2015-11-05,0,0,0,1
2015-11-19,1,0,0,0
2015-11-25,0,0,0,1
2015-12-18,1,0,0,0
2015-12-24,0,0,0,1
2016-01-29,1,0,1,0
2016-02-03,0,0,0,1
2016-02-03,0,0,0,1
2016-03-15,1,0,0,0
2016-03-18,0,0,0,1
2016-04-28,1,0,1,0
2016-05-09,0,0,0,1
2016-06-16,1,0,0,0
2016-06-21,0,0,0,1
2016-07-29,1,0,1,0
2016-08-03,0,0,0,1
2016-09-21,1,0,0,0
2016-09-27,0,0,0,1
2016-11-01,1,0,1,0
2016-11-07,0,0,0,1
2016-12-20,1,0,0,0
2016-12-26,0,0,0,1
2017-01-26,0,0,0,1
2017-01-31,1,0,1,0
2017-03-16,1,0,0,0
2017-03-22,0,0,0,1
2017-04-27,1,0,1,0
2017-05-02,0,0,0,1
2017-06-16,1,0,0,0
2017-06-21,0,0,0,1
2017-07-20,1,0,1,0
2017-07-25,0,0,0,1
2017-09-21,1,0,0,0
2017-09-26,0,0,0,1
2017-10-31,1,0,1,0
2017-11-06,0,0,0,1
2017-12-21,1,0,0,0
2017-12-26,0,0,0,1
2018-01-23,1,0,1,0
2018-03-09,1,0,0,0
2018-03-14,0,0,0,1
2018-04-27,1,0,1,0
2018-05-07,0,0,0,1
2018-06-15,1,0,0,0
2018-06-20,0,0,0,1
2018-07-31,1,0,1,0
2018-08-03,0,0,0,1
2018-09-19,1,0,0,0
2018-09-25,0,0,0,1
2018-10-31,1,0,1,0
2018-11-05,0,0,0,1
2018-12-20,1,0,0,0
2018-12-26,0,0,0,1
2019-01-23,1,0,1,0
2019-01-28,0,0,0,1
2019-03-15,1,0,0,0
2019-03-20,0,0,0,1
2019-04-25,1,0,1,0
2019-05-08,0,0,0,1
2019-06-20,1,0,0,0
2019-06-25,0,0,0,1
2019-07-30,1,0,1,0
2019-08-02,0,0,0,1
2019-09-19,1,0,0,0
2019-09-25,0,0,0,1
2019-10-31,1,0,1,0
2019-11-06,0,0,0,1
2019-12-19,1,0,0,0
2019-12-24,0,0,0,1
2020-01-21,1,0,1,0
2020-01-24,0,0,0,1
2020-03-16,1,0,0,0
2020-03-19,0,0,0,1
2020-04-27,1,0,1,0
2020-05-01,0,0,0,1
2020-05-22,1,1,0,0
2020-06-16,1,0,0,0
2020-06-19,0,0,0,1
2020-06-19,0,0,0,1
2020-07-15,1,0,1,0
2020-07-20,0,0,0,1
2020-09-17,1,0,0,0
2020-09-24,0,0,0,1
2020-10-29,1,0,1,0
2020-11-04,0,0,0,1
2020-12-18,1,0,0,0
2020-12-23,0,0,0,1
2021-01-21,1,0,1,0
2021-01-26,0,0,0,1
2021-03-19,1,0,0,0
2021-03-24,0,0,0,1
2021-04-27,1,0,1,0
2021-04-27,1,0,1,0
2021-05-06,0,0,0,1
2021-06-18,1,0,0,0
2021-06-23,0,0,0,1
2021-07-16,1,0,1,0
2021-07-21,0,0,0,1
2021-09-22,1,0,0,0
2021-09-28,0,0,0,1
2021-10-28,1,0,1,0
2021-11-02,0,0,0,1
2021-12-17,1,0,0,0
2021-12-22,0,0,0,1
2022-01-18,1,0,1,0
2022-01-21,0,0,0,1
2022-03-18,1,0,0,0
2022-03-24,0,0,0,1
2022-04-28,1,0,1,0
2022-05-09,0,0,0,1
2022-06-17,1,0,0,0
2022-06-22,0,0,0,1
2022-07-21,1,0,1,0
2022-07-26,0,0,0,1
2022-09-22,1,0,0,0
2022-09-28,0,0,0,1
2022-10-28,1,0,1,0
2022-11-02,0,0,0,1
2022-12-20,1,0,0,0
2022-12-23,0,0,0,1
2023-01-18,1,0,1,0
2023-01-23,0,0,0,1
2023-03-10,1,0,0,0
2023-03-15,0,0,0,1
2023-04-28,1,0,1,0
2023-05-08,0,0,0,1
2023-06-16,1,0,0,0
2023-06-21,0,0,0,1
2023-07-28,1,0,0,0
2023-08-02,0,0,0,1
2023-09-22,1,0,0,0
2023-09-27,0,0,0,1
2023-11-06,0,0,0,1
