date,bot_meeting_date_indicator,bot_non_scheduled_meeting_indicator,bot_minutes_date_indicator
2000-05-23,1,0,0
2000-07-28,1,0,0
2000-09-05,1,0,0
2000-10-17,1,0,0
2000-12-06,1,0,0
2001-01-18,1,0,0
2001-03-01,1,0,0
2001-04-19,1,0,0
2001-05-24,1,0,0
2001-07-12,1,0,0
2001-08-29,1,0,0
2001-10-17,1,0,0
2001-11-27,1,0,0
2001-12-25,1,0,0
2002-01-21,1,0,0
2002-03-04,1,0,0
2002-04-22,1,0,0
2002-06-03,1,0,0
2002-07-22,1,0,0
2002-09-10,1,0,0
2002-10-21,1,0,0
2002-11-19,1,1,0
2002-12-12,1,0,0
2003-01-20,1,0,0
2003-03-03,1,0,0
2003-04-21,1,0,0
2003-06-02,1,0,0
2003-06-27,1,1,0
2003-07-21,1,0,0
2003-09-11,1,0,0
2003-10-28,1,0,0
2003-12-12,1,0,0
2004-01-21,1,0,0
2004-03-17,1,0,0
2004-04-21,1,0,0
2004-06-09,1,0,0
2004-07-21,1,0,0
2004-08-25,1,0,0
2004-10-20,1,0,0
2004-12-15,1,0,0
2005-01-19,1,0,0
2005-03-02,1,0,0
2005-04-20,1,0,0
2005-06-09,1,0,0
2005-07-20,1,0,0
2005-09-07,1,0,0
2005-10-19,1,0,0
2005-12-14,1,0,0
2006-01-18,1,0,0
2006-03-08,1,0,0
2006-04-10,1,0,0
2006-06-07,1,0,0
2006-07-19,1,0,0
2006-09-06,1,0,0
2006-10-18,1,0,0
2006-12-13,1,0,0
2007-01-17,1,0,0
2007-02-28,1,0,0
2007-04-11,1,0,0
2007-05-23,1,0,0
2007-07-18,1,0,0
2007-08-29,1,0,0
2007-10-10,1,0,0
2007-12-04,1,0,0
2008-01-16,1,0,0
2008-02-27,1,0,0
2008-04-09,1,0,0
2008-05-21,1,0,0
2008-07-16,1,0,0
2008-08-27,1,0,0
2008-10-08,1,0,0
2008-12-03,1,0,0
2009-01-14,1,0,0
2009-02-25,1,0,0
2009-04-08,1,0,0
2009-05-20,1,0,0
2009-07-15,1,0,0
2009-08-26,1,0,0
2009-10-21,1,0,0
2009-12-02,1,0,0
2010-01-13,1,0,0
2010-03-10,1,0,0
2010-04-21,1,0,0
2010-06-02,1,0,0
2010-07-14,1,0,0
2010-08-25,1,0,0
2010-10-20,1,0,0
2010-12-01,1,0,0
2011-01-12,1,0,0
2011-01-26,0,0,1
2011-03-09,1,0,0
2011-03-23,0,0,1
2011-05-04,1,0,0
2011-06-01,1,0,0
2011-06-15,0,0,1
2011-07-13,1,0,0
2011-07-27,0,0,1
2011-08-24,1,0,0
2011-09-07,0,0,1
2011-10-19,1,0,0
2011-11-02,0,0,1
2011-11-30,1,0,0
2011-12-14,0,0,1
2012-01-25,1,0,0
2012-02-08,0,0,1
2012-03-21,1,0,0
2012-04-04,0,0,1
2012-05-02,1,0,0
2012-05-16,0,0,1
2012-06-13,1,0,0
2012-06-27,0,0,1
2012-07-25,1,0,0
2012-08-08,0,0,1
2012-09-05,1,0,0
2012-09-19,0,0,1
2012-10-17,1,0,0
2012-10-31,0,0,1
2012-11-28,1,0,0
2012-12-12,0,0,1
2013-01-09,1,0,0
2013-01-23,0,0,1
2013-02-20,1,0,0
2013-03-06,0,0,1
2013-04-03,1,0,0
2013-04-17,0,0,1
2013-06-12,0,0,1
2013-06-13,1,0,0
2013-07-16,1,0,0
2013-08-21,1,0,0
2013-09-04,0,0,1
2013-10-16,1,0,0
2013-10-30,0,0,1
2013-11-27,1,0,0
2013-12-11,0,0,1
2014-01-22,1,0,0
2014-02-05,0,0,1
2014-03-12,1,0,0
2014-03-26,0,0,1
2014-04-23,1,0,0
2014-05-07,0,0,1
2014-06-18,1,0,0
2014-07-02,0,0,1
2014-08-06,1,0,0
2014-08-20,0,0,1
2014-09-17,1,0,0
2014-10-01,0,0,1
2014-11-05,1,0,0
2014-11-19,0,0,1
2014-12-31,0,0,1
2015-01-28,1,0,0
2015-02-11,0,0,1
2015-03-11,1,0,0
2015-03-25,0,0,1
2015-04-29,1,0,0
2015-05-13,0,0,1
2015-06-10,1,0,0
2015-06-24,0,0,1
2015-08-05,1,0,0
2015-08-19,0,0,1
2015-09-16,1,0,0
2015-09-30,0,0,1
2015-11-04,1,0,0
2015-11-18,0,0,1
2015-12-16,1,0,0
2015-12-30,0,0,1
2016-02-03,1,0,0
2016-02-17,0,0,1
2016-03-23,1,0,0
2016-04-05,0,0,1
2016-05-11,1,0,0
2016-05-25,0,0,1
2016-06-22,1,0,0
2016-07-06,0,0,1
2016-08-03,1,0,0
2016-08-17,0,0,1
2016-09-14,1,0,0
2016-09-28,0,0,1
2016-11-09,1,0,0
2016-11-23,0,0,1
2016-12-21,1,0,0
2017-01-04,0,0,1
2017-02-08,1,0,0
2017-02-22,0,0,1
2017-03-29,1,0,0
2017-04-12,0,0,1
2017-05-24,1,0,0
2017-06-07,0,0,1
2017-07-05,1,0,0
2017-07-19,0,0,1
2017-08-16,1,0,0
2017-08-30,0,0,1
2017-09-27,1,0,0
2017-10-11,0,0,1
2017-11-08,1,0,0
2017-11-22,0,0,1
2017-12-20,1,0,0
2018-01-03,0,0,1
2018-02-28,0,0,1
2018-04-11,0,0,1
2018-05-30,0,0,1
2018-07-04,0,0,1
2018-08-22,0,0,1
2018-10-03,0,0,1
2018-11-28,0,0,1
2019-01-02,0,0,1
2019-02-06,1,0,0
2019-02-20,0,0,1
2019-03-20,1,0,0
2019-04-03,0,0,1
2019-05-08,1,0,0
2019-05-22,0,0,1
2019-06-26,1,0,0
2019-07-10,0,0,1
2019-08-07,1,0,0
2019-08-21,0,0,1
2019-09-25,1,0,0
2019-10-09,0,0,1
2019-11-06,1,0,0
2019-11-20,0,0,1
2019-12-18,1,0,0
2020-01-02,0,0,1
2020-02-05,1,0,0
2020-02-19,0,0,1
2020-03-25,1,0,0
2020-04-08,0,0,1
2020-05-20,1,0,0
2020-06-04,0,0,1
2020-06-24,1,0,0
2020-07-08,0,0,1
2020-08-05,1,0,0
2020-08-19,0,0,1
2020-09-23,1,0,0
2020-10-07,0,0,1
2020-11-18,1,0,0
2020-12-02,0,0,1
2020-12-23,1,0,0
2021-01-06,0,0,1
2021-02-03,1,0,0
2021-02-17,0,0,1
2021-03-24,1,0,0
2021-04-07,0,0,1
2021-05-05,1,0,0
2021-05-19,0,0,1
2021-06-23,1,0,0
2021-07-07,0,0,1
2021-08-04,1,0,0
2021-08-18,0,0,1
2021-09-29,1,0,0
2021-10-14,0,0,1
2021-11-10,1,0,0
2021-11-24,0,0,1
2021-12-22,1,0,0
2022-01-05,0,0,1
2022-02-09,1,0,0
2022-02-23,0,0,1
2022-03-30,1,0,0
2022-04-12,0,0,1
2022-06-08,1,0,0
2022-06-22,0,0,1
2022-08-10,1,0,0
2022-08-24,0,0,1
2022-09-28,1,0,0
2022-10-12,0,0,1
2022-11-30,1,0,0
2022-12-14,0,0,1
2023-01-25,1,0,0
2023-02-08,0,0,1
2023-03-29,1,0,0
2023-04-12,0,0,1
2023-05-31,1,0,0
2023-06-14,0,0,1
2023-07-24,0,0,1
2023-08-02,1,0,0
2023-09-27,1,0,0
2023-10-11,0,0,1
2023-11-29,1,0,0