"cbc_activity_date","cbc_meeting_date_indicator","cbc_projection_materials_indicator"
2000-01-27,1,0
2000-02-24,1,0
2000-03-16,1,0
2000-04-11,1,0
2000-05-09,1,0
2000-05-30,0,1
2000-06-08,1,0
2000-07-11,1,0
2000-08-09,1,0
2000-08-28,1,0
2000-09-30,0,1
2000-10-10,1,0
2000-11-14,1,0
2000-12-12,1,0
2001-01-18,1,0
2001-01-30,0,1
2001-02-20,1,0
2001-03-02,1,0
2001-04-10,1,0
2001-05-10,1,0
2001-05-30,0,1
2001-06-12,1,0
2001-07-12,1,0
2001-08-09,1,0
2001-09-06,1,0
2001-09-30,0,1
2001-10-08,1,0
2001-11-08,1,0
2001-12-13,1,0
2002-01-10,1,0
2002-01-30,0,1
2002-02-19,1,0
2002-03-12,1,0
2002-04-09,1,0
2002-05-08,1,0
2002-05-30,0,1
2002-06-13,1,0
2002-07-11,1,0
2002-08-08,1,0
2002-09-05,1,0
2002-09-30,0,1
2002-10-08,1,0
2002-11-07,1,0
2002-12-10,1,0
2003-01-09,1,0
2003-01-30,0,1
2003-02-18,1,0
2003-03-13,1,0
2003-04-08,1,0
2003-05-08,1,0
2003-05-30,0,1
2003-06-10,1,0
2003-07-10,1,0
2003-08-12,1,0
2003-09-04,1,0
2003-09-30,0,1
2003-10-14,1,0
2003-11-13,1,0
2003-12-11,1,0
2004-01-08,1,0
2004-01-30,0,1
2004-02-10,1,0
2004-03-11,1,0
2004-04-15,1,0
2004-05-13,1,0
2004-05-30,0,1
2004-06-10,1,0
2004-07-08,1,0
2004-08-12,1,0
2004-09-07,1,0
2004-09-30,0,1
2004-10-12,1,0
2004-11-11,1,0
2004-12-09,1,0
2005-01-11,1,0
2005-01-30,0,1
2005-02-10,1,0
2005-03-10,1,0
2005-04-07,1,0
2005-05-12,1,0
2005-05-30,0,1
2005-06-09,1,0
2005-07-12,1,0
2005-08-11,1,0
2005-09-08,1,0
2005-09-30,0,1
2005-10-11,1,0
2005-11-10,1,0
2005-12-13,1,0
2006-01-12,1,0
2006-01-30,0,1
2006-02-09,1,0
2006-03-16,1,0
2006-04-13,1,0
2006-05-11,1,0
2006-05-30,0,1
2006-06-15,1,0
2006-07-13,1,0
2006-08-10,1,0
2006-09-07,1,0
2006-09-30,0,1
2006-10-12,1,0
2006-11-16,1,0
2006-12-14,1,0
2007-01-11,1,0
2007-01-30,0,1
2007-02-08,1,0
2007-03-15,1,0
2007-04-12,1,0
2007-05-10,1,0
2007-05-30,0,1
2007-06-14,1,0
2007-07-12,1,0
2007-08-09,1,0
2007-09-13,1,0
2007-09-30,0,1
2007-10-11,1,0
2007-11-13,1,0
2007-12-13,1,0
2008-01-10,1,0
2008-01-30,0,1
2008-02-07,1,0
2008-03-13,1,0
2008-04-10,1,0
2008-05-08,1,0
2008-05-30,0,1
2008-06-10,1,0
2008-07-10,1,0
2008-08-14,1,0
2008-09-04,1,0
2008-09-30,0,1
2008-10-09,1,0
2008-11-13,1,0
2008-12-11,1,0
2009-01-08,1,0
2009-01-30,0,1
2009-02-12,1,0
2009-03-12,1,0
2009-04-09,1,0
2009-05-07,1,0
2009-05-30,0,1
2009-06-16,1,0
2009-07-09,1,0
2009-08-13,1,0
2009-09-08,1,0
2009-09-30,0,1
2009-10-13,1,0
2009-11-12,1,0
2009-12-15,1,0
2009-12-30,0,1
2010-01-14,1,0
2010-02-11,1,0
2010-03-18,1,0
2010-03-30,0,1
2010-04-15,1,0
2010-05-13,1,0
2010-06-15,1,0
2010-06-30,0,1
2010-07-15,1,0
2010-08-12,1,0
2010-09-16,1,0
2010-09-30,0,1
2010-10-14,1,0
2010-11-16,1,0
2010-12-16,1,0
2010-12-30,0,1
2011-01-13,1,0
2011-02-17,1,0
2011-03-17,1,0
2011-03-29,0,1
2011-04-12,1,0
2011-05-12,1,0
2011-06-14,1,0
2011-06-29,0,1
2011-07-14,1,0
2011-08-18,1,0
2011-09-15,1,0
2011-09-30,0,1
2011-10-13,1,0
2011-11-15,1,0
2011-12-13,1,0
2011-12-30,0,1
2012-01-12,1,0
2012-02-14,1,0
2012-03-15,1,0
2012-03-30,0,1
2012-04-17,1,0
2012-05-17,1,0
2012-06-14,1,0
2012-06-29,0,1
2012-07-12,1,0
2012-08-16,1,0
2012-09-13,1,0
2012-09-30,0,1
2012-10-18,1,0
2012-11-13,1,0
2012-12-13,1,0
2012-12-30,0,1
2013-01-17,1,0
2013-02-14,1,0
2013-03-14,1,0
2013-03-30,0,1
2013-04-11,1,0
2013-05-16,1,0
2013-06-13,1,0
2013-06-29,0,1
2013-08-13,1,0
2013-09-12,1,0
2013-09-30,0,1
2013-10-17,1,0
2013-11-19,1,0
2013-12-12,1,0
2013-12-30,0,1
2014-01-16,1,0
2014-02-18,1,0
2014-03-13,1,0
2014-03-30,0,1
2014-04-17,1,0
2014-05-15,1,0
2014-06-12,1,0
2014-06-17,0,1
2014-07-15,1,0
2014-08-14,1,0
2014-09-11,1,0
2014-10-16,1,0
2014-11-18,1,0
2014-12-11,1,0
2014-12-12,0,1
2014-12-15,0,1
2015-01-15,1,0
2015-02-12,1,0
2015-03-19,1,0
2015-03-30,0,1
2015-04-16,1,0
2015-05-14,1,0
2015-06-03,0,1
2015-06-11,1,0
2015-07-14,1,0
2015-08-13,1,0
2015-09-01,0,1
2015-09-15,1,0
2015-10-15,1,0
2015-11-12,1,0
2015-12-17,1,0
2015-12-21,0,1
2016-01-14,1,0
2016-02-11,1,0
2016-03-17,1,0
2016-03-28,0,1
2016-04-12,1,0
2016-05-17,1,0
2016-06-06,0,1
2016-06-16,1,0
2016-07-14,1,0
2016-08-11,1,0
2016-09-07,0,1
2016-09-15,1,0
2016-10-18,1,0
2016-11-17,1,0
2016-12-13,1,0
2016-12-19,0,1
2017-01-19,1,0
2017-02-14,1,0
2017-03-16,1,0
2017-04-03,0,1
2017-04-13,1,0
2017-05-18,1,0
2017-06-05,0,1
2017-06-15,1,0
2017-07-13,1,0
2017-08-17,1,0
2017-09-06,0,1
2017-09-14,1,0
2017-10-19,1,0
2017-11-14,1,0
2017-12-04,0,1
2017-12-14,1,0
2018-02-01,1,0
2018-03-20,1,1
2018-05-03,1,0
2018-06-13,1,1
2018-07-24,1,0
2018-09-04,1,1
2018-10-18,1,0
2018-12-04,1,1
2019-01-30,1,0
2019-03-29,1,1
2019-05-09,1,0
2019-06-07,1,1
2019-07-18,1,0
2019-09-03,1,1
2019-10-23,1,0
2019-12-04,1,1
2020-01-29,1,0
2020-03-16,1,0
2020-03-31,1,0
2020-04-01,0,1
2020-05-06,1,0
2020-06-16,1,1
2020-07-15,1,0
2020-09-01,1,1
2020-10-15,1,0
2020-12-07,1,1
2021-01-27,1,0
2021-03-30,1,1
2021-05-13,1,0
2021-06-08,1,1
2021-07-14,1,0
2021-08-31,1,1
2021-10-13,1,0
2021-12-14,1,1
2022-01-26,1,0
2022-03-29,1,1
2022-05-05,1,0
2022-06-07,1,1
2022-07-13,1,0
2022-09-06,1,1
2022-10-12,1,0
2022-12-06,1,1
2023-01-26,1,0
2023-04-04,1,1
2023-05-12,1,0
2023-06-19,1,1
2023-07-28,1,0
2023-09-05,1,1
2023-10-26,1,0
2023-12-20,1,0
