date,pboc_meeting_date_indicator,pboc_projection_materials_indicator
2002-01-20,1,0
2002-04-27,1,0
2002-07-22,1,0
2002-10-21,1,0
2003-06-23,1,0
2003-06-23,1,0
2003-09-17,1,0
2003-09-17,1,0
2003-12-22,1,0
2003-12-22,1,0
2004-04-06,1,0
2004-04-06,1,0
2004-06-18,1,0
2004-06-18,1,0
2004-09-06,1,0
2004-10-11,1,0
2004-12-30,1,0
2005-03-29,1,0
2005-07-06,1,0
2005-09-26,1,0
2005-12-31,1,0
2006-03-27,1,0
2006-06-21,0,1
2006-07-27,1,0
2006-08-09,0,1
2006-08-31,1,0
2006-10-10,1,0
2006-11-14,0,1
2007-01-05,1,0
2007-02-09,0,1
2007-04-25,1,0
2007-07-13,1,0
2007-08-08,0,1
2007-10-16,1,0
2007-11-08,0,1
2007-12-21,1,0
2008-02-22,0,1
2008-04-01,1,0
2008-05-14,0,1
2008-07-27,1,0
2008-08-15,0,1
2008-10-10,1,0
2008-11-17,0,1
2008-12-31,1,0
2009-02-23,0,1
2009-04-12,1,0
2009-05-06,0,1
2009-06-25,1,0
2009-08-05,0,1
2009-09-29,1,0
2009-12-16,0,1
2010-03-16,0,1
2010-03-31,1,0
2010-06-07,0,1
2010-08-05,0,1
2010-11-02,0,1
2010-12-30,1,0
2011-01-30,0,1
2011-05-03,0,1
2011-08-10,0,1
2011-09-30,1,0
2011-11-16,0,1
2012-01-05,1,0
2012-02-15,0,1
2012-03-31,1,0
2012-03-31,1,0
2012-05-10,0,1
2012-07-03,1,0
2012-08-02,0,1
2012-09-25,1,0
2012-11-02,0,1
2013-01-08,1,0
2013-02-06,0,1
2013-04-08,1,0
2013-05-09,0,1
2013-08-02,0,1
2013-10-11,1,0
2013-11-05,0,1
2014-01-06,1,0
2014-02-08,0,1
2014-04-10,1,0
2014-05-06,0,1
2014-07-10,1,0
2014-08-01,0,1
2014-10-09,1,0
2014-11-06,0,1
2015-01-07,1,0
2015-02-10,0,1
2015-05-08,0,1
2015-08-07,0,1
2015-11-07,0,1
2016-02-06,0,1
2016-08-08,0,1
2016-11-08,0,1
2017-02-17,0,1
2017-05-17,0,1
2017-08-11,0,1
2017-10-12,1,0
2017-12-25,0,1
2018-01-04,1,0
2018-02-14,0,1
2018-05-11,0,1
2018-08-10,0,1
2018-09-29,1,0
2018-11-09,0,1
2018-12-31,1,0
2019-02-21,0,1
2019-04-19,1,0
2019-05-17,0,1
2019-07-03,1,0
2019-09-30,1,0
2019-11-15,0,1
2020-01-02,1,0
2020-02-19,0,1
2020-03-31,1,0
2020-05-10,0,1
2020-06-30,1,0
2020-08-06,0,1
2020-09-30,1,0
2020-11-26,0,1
2020-12-31,1,0
2021-02-08,0,1
2021-03-29,1,0
2021-05-11,0,1
2021-06-30,1,0
2021-08-09,0,1
2021-09-30,1,0
2021-11-19,0,1
2021-12-27,1,0
2022-02-11,0,1
2022-03-30,1,0
2022-05-09,0,1
2022-06-29,1,0
2022-08-10,0,1
2022-09-29,1,0
2022-11-16,0,1
2023-02-24,0,1
2023-04-14,1,0
2023-05-15,0,1
2023-06-30,1,0
2023-08-17,0,1
2023-09-27,1,0