date,sarb_meeting_date_indicator,sarb_projection_materials_indicator
2000-01-13,1,0
2000-03-02,1,0
2000-03-18,0,1
2000-04-06,1,0
2000-05-19,1,0
2000-06-11,0,1
2000-06-15,1,0
2000-08-11,1,0
2000-09-19,0,1
2000-09-21,1,0
2000-11-16,1,0
2000-12-10,0,1
2001-01-19,1,0
2001-03-16,1,0
2001-03-18,0,1
2001-04-25,1,0
2001-06-09,0,1
2001-06-14,1,0
2001-07-26,1,0
2001-09-15,0,1
2001-09-20,1,0
2001-11-15,1,0
2001-12-13,0,1
2002-01-15,1,0
2002-03-12,0,1
2002-03-14,1,0
2002-06-13,1,0
2002-06-27,0,1
2002-09-05,0,1
2002-09-12,1,0
2002-11-28,1,0
2002-12-14,0,1
2003-03-12,0,1
2003-03-20,1,0
2003-06-06,0,1
2003-06-12,1,0
2003-08-14,1,0
2003-09-06,0,1
2003-09-10,1,0
2003-10-16,1,0
2003-12-11,1,0
2003-12-30,0,1
2004-02-26,1,0
2004-03-15,0,1
2004-04-22,1,0
2004-06-10,1,0
2004-06-21,0,1
2004-08-12,1,0
2004-09-14,0,1
2004-10-14,1,0
2004-12-07,0,1
2004-12-09,1,0
2005-02-10,1,0
2005-03-16,0,1
2005-04-14,1,0
2005-06-07,0,1
2005-06-09,1,0
2005-08-11,1,0
2005-09-15,0,1
2005-10-13,1,0
2005-12-07,0,1
2005-12-08,1,0
2006-02-02,1,0
2006-03-11,0,1
2006-04-13,1,0
2006-06-08,1,0
2006-06-11,0,1
2006-08-03,1,0
2006-09-10,0,1
2006-10-12,1,0
2006-12-07,1,0
2006-12-19,0,1
2007-02-15,1,0
2007-03-11,0,1
2007-04-12,1,0
2007-06-04,0,1
2007-06-07,1,0
2007-08-16,1,0
2007-09-17,0,1
2007-10-11,1,0
2007-12-04,0,1
2007-12-06,1,0
2008-01-31,1,0
2008-03-11,0,1
2008-04-10,1,0
2008-06-12,1,0
2008-06-19,0,1
2008-08-14,1,0
2008-09-12,0,1
2008-10-09,1,0
2008-12-11,1,0
2008-12-13,0,1
2009-02-05,1,0
2009-03-18,0,1
2009-03-24,1,0
2009-04-30,1,0
2009-05-28,1,0
2009-06-10,0,1
2009-06-25,1,0
2009-08-13,1,0
2009-09-03,0,1
2009-09-22,1,0
2009-10-22,1,0
2009-11-17,1,0
2009-12-11,0,1
2010-01-26,1,0
2010-03-19,0,1
2010-03-25,1,0
2010-05-13,1,0
2010-06-22,0,1
2010-07-22,1,0
2010-09-09,1,0
2010-09-20,0,1
2010-11-11,1,0
2010-12-08,0,1
2011-01-20,1,0
2011-03-22,0,1
2011-03-24,1,0
2011-05-12,1,0
2011-06-21,0,1
2011-07-21,1,0
2011-09-13,0,1
2011-09-22,1,0
2011-11-10,1,0
2011-12-08,0,1
2012-01-19,1,0
2012-03-19,0,1
2012-03-29,1,0
2012-05-24,1,0
2012-06-21,0,1
2012-07-19,1,0
2012-09-20,1,0
2012-11-09,0,1
2012-11-22,1,0
2012-12-06,0,1
2013-01-24,1,0
2013-03-12,0,1
2013-03-20,1,0
2013-05-23,1,0
2013-06-19,0,1
2013-07-18,1,0
2013-09-10,0,1
2013-09-19,1,0
2013-11-21,1,0
2013-12-03,0,1
2014-01-29,1,0
2014-03-12,0,1
2014-03-27,1,0
2014-05-22,1,0
2014-06-18,0,1
2014-07-17,1,0
2014-09-09,0,1
2014-09-18,1,0
2014-11-20,1,0
2014-12-08,0,1
2015-01-29,1,0
2015-03-17,0,1
2015-03-26,1,0
2015-05-21,1,0
2015-06-23,0,1
2015-07-23,1,0
2015-09-15,0,1
2015-09-23,1,0
2015-11-19,1,0
2015-12-08,0,1
2016-01-28,1,0
2016-03-08,0,1
2016-03-17,1,0
2016-05-19,1,0
2016-06-14,0,1
2016-07-21,1,0
2016-09-13,0,1
2016-09-22,1,0
2016-11-24,1,0
2016-12-09,0,1
2017-01-24,1,0
2017-03-22,0,1
2017-03-30,1,0
2017-05-25,1,0
2017-06-20,0,1
2017-07-20,1,0
2017-09-14,0,1
2017-09-21,1,0
2017-11-23,1,0
2017-12-14,0,1
2018-01-18,1,0
2018-03-20,0,1
2018-03-28,1,0
2018-05-24,1,0
2018-06-21,0,1
2018-07-19,1,0
2018-09-20,1,0
2018-09-25,0,1
2018-11-22,1,0
2018-12-14,0,1
2019-01-17,1,0
2019-03-20,0,1
2019-03-28,1,0
2019-05-23,1,0
2019-06-27,0,1
2019-07-18,1,0
2019-09-19,1,0
2019-09-25,0,1
2019-11-21,1,0
2019-12-13,0,1
2020-01-16,1,0
2020-03-19,1,0
2020-03-24,0,1
2020-04-14,1,0
2020-05-21,1,0
2020-07-16,0,1
2020-07-23,1,0
2020-09-17,1,0
2020-09-29,0,1
2020-11-19,1,0
2020-12-15,0,1
2021-01-21,1,0
2021-03-25,1,0
2021-03-30,0,1
2021-05-20,1,0
2021-06-29,0,1
2021-07-22,1,0
2021-09-23,1,0
2021-09-28,0,1
2021-11-18,1,0
2021-12-15,0,1
2022-01-27,1,0
2022-03-24,1,0
2022-03-29,0,1
2022-05-19,1,0
2022-06-28,0,1
2022-07-21,1,0
2022-09-22,1,0
2022-09-27,0,1
2022-11-24,1,0
2022-12-15,0,1
2023-01-26,1,0
2023-03-21,0,1
2023-03-30,1,0
2023-05-25,1,0
2023-06-29,0,1
2023-07-20,1,0
2023-09-21,1,0
2023-09-28,0,1
2023-11-23,1,0